M-BIRGA						uni1800
M-BIRGA.fvs1				uni1800.var1
M-BIRGA.fvs2				uni1800.var2
M-BIRGA.fvs3				uni1800.var3
M-BIRGA.zwj					uni1800.var4
M-ELLIP						uni1801
M-COMM						uni1802
M-FULL_STOP					uni1803
M-COLON						uni1804
M-FOUR_DOTS					uni1805
MD-SOFT_HYPHEN				uni1806
MS-SYLLABLE_BOUNDARY_MARKER	uni1807
MM-COMMA					uni1808
MM-FULL_STOP				uni1809
M-NIRUGU					uni180A
FVS1						uni180B
FVS2						uni180C
FVS3						uni180D
MVS							uni180E
MD-ZERO						uni1810
MD-ONE						uni1811
MD-TWO						uni1812
MD-THREE					uni1813
MD-FOUR						uni1814
MD-FIVE						uni1815
MD-SIX						uni1816
MD-SEVEN					uni1817
MD-EIGHT					uni1818
MD-NINE						uni1819
ML_A						uni1820
ML_A.isol					uni1820
ML_A.isol1					uni1820.var1
ML_A.init					uni1820.init
ML_A.medi					uni1820.medi
ML_A.medi1					uni1820.medivar1
ML_A.medi2					uni1820.medivar2
ML_A.fina					uni1820.fina
ML_A.fina1					uni1820.finavar1
ML_E						uni1821
ML_E.isol					uni1821
ML_E.init					uni1821.init
ML_E.init1					uni1821.initvar1
ML_E.medi					uni1821.medi
ML_E.fina					uni1821.fina
ML_E.fina1					uni1821.finavar1
ML_I						uni1822
ML_I.isol					uni1822
ML_I.init					uni1822.init
ML_I.medi					uni1822.medi
ML_I.medi1					uni1822.medivar1
ML_I.fina					uni1822.fina
ML_O						uni1823
ML_O.isol					uni1823
ML_O.init					uni1823.init
ML_O.medi					uni1823.medi
ML_O.medi1					uni1823.medivar1
ML_O.fina					uni1823.fina
ML_O.fina1					uni1823.finavar1
ML_U						uni1824.init
ML_U.isol					uni1824.isol
ML_U.init					uni1824.init
ML_U.medi					uni1824.medi
ML_U.medi1					uni1824.medivar1
ML_U.fina					uni1824.fina
ML_OE						uni1825
ML_OE.isol					uni1825
ML_OE.init					uni1825.init
ML_OE.medi					uni1825.medi
ML_OE.medi1					uni1825.medivar1
ML_OE.medi2					uni1825.medivar2
ML_OE.fina					uni1825.fina
ML_OE.fina1					uni1825.finavar1
ML_UE						uni1826
ML_UE.isol					uni1826.isol
ML_UE.isol1					uni1826.var1
ML_UE.init					uni1826.init
ML_UE.medi					uni1826.medi
ML_UE.medi1					uni1826.medivar1
ML_UE.medi2					uni1826.medivar2
ML_UE.fina					uni1826.fina
ML_UE.fina1					uni1826.finavar1
ML_EE						uni1827
ML_EE.isol					uni1827
